chemin,class,methode,methode_LOC,methode_CLOC,methode_DC,methode_CC,methode_BC
C:\Users\fiery\OneDrive\jfreechart-master\jfreechart-master\src\test\java\org\jfree\data\xy\,IntervalXYDelegateTest,testEquals,29,3,0.10344827586206896,1,0.10344827586206896

C:\Users\fiery\OneDrive\jfreechart-master\jfreechart-master\src\test\java\org\jfree\data\xy\,IntervalXYDelegateTest,testCloning,14,3,0.21428571428571427,1,0.21428571428571427

C:\Users\fiery\OneDrive\jfreechart-master\jfreechart-master\src\test\java\org\jfree\data\xy\,IntervalXYDelegateTest,testSerialization,12,3,0.25,1,0.25

C:\Users\fiery\OneDrive\jfreechart-master\jfreechart-master\src\test\java\org\jfree\data\xy\,MatrixSeriesCollectionTest,testEquals,19,3,0.15789473684210525,1,0.15789473684210525

C:\Users\fiery\OneDrive\jfreechart-master\jfreechart-master\src\test\java\org\jfree\data\xy\,MatrixSeriesCollectionTest,testCloning,16,4,0.25,1,0.25

C:\Users\fiery\OneDrive\jfreechart-master\jfreechart-master\src\test\java\org\jfree\data\xy\,MatrixSeriesCollectionTest,testPublicCloneable,7,3,0.42857142857142855,1,0.42857142857142855

C:\Users\fiery\OneDrive\jfreechart-master\jfreechart-master\src\test\java\org\jfree\data\xy\,MatrixSeriesCollectionTest,testSerialization,11,3,0.2727272727272727,1,0.2727272727272727

C:\Users\fiery\OneDrive\jfreechart-master\jfreechart-master\src\test\java\org\jfree\data\xy\,MatrixSeriesTest,testEquals,29,3,0.10344827586206896,1,0.10344827586206896

C:\Users\fiery\OneDrive\jfreechart-master\jfreechart-master\src\test\java\org\jfree\data\xy\,MatrixSeriesTest,testCloning,12,3,0.25,1,0.25

C:\Users\fiery\OneDrive\jfreechart-master\jfreechart-master\src\test\java\org\jfree\data\xy\,MatrixSeriesTest,testSerialization,10,3,0.3,1,0.3

C:\Users\fiery\OneDrive\jfreechart-master\jfreechart-master\src\test\java\org\jfree\data\xy\,MatrixSeriesTest,testGetItemColumn,12,3,0.25,1,0.25

C:\Users\fiery\OneDrive\jfreechart-master\jfreechart-master\src\test\java\org\jfree\data\xy\,MatrixSeriesTest,testGetItemRow,12,3,0.25,1,0.25

C:\Users\fiery\OneDrive\jfreechart-master\jfreechart-master\src\test\java\org\jfree\data\xy\,MatrixSeriesTest,testGetItem,18,3,0.16666666666666666,1,0.16666666666666666

C:\Users\fiery\OneDrive\jfreechart-master\jfreechart-master\src\test\java\org\jfree\data\xy\,OHLCDataItemTest,testEquals,9,3,0.3333333333333333,1,0.3333333333333333

C:\Users\fiery\OneDrive\jfreechart-master\jfreechart-master\src\test\java\org\jfree\data\xy\,OHLCDataItemTest,testCloning,7,3,0.42857142857142855,1,0.42857142857142855

C:\Users\fiery\OneDrive\jfreechart-master\jfreechart-master\src\test\java\org\jfree\data\xy\,OHLCDataItemTest,testSerialization,8,3,0.375,1,0.375

C:\Users\fiery\OneDrive\jfreechart-master\jfreechart-master\src\test\java\org\jfree\data\xy\,TableXYDatasetTest,testEquals,13,3,0.23076923076923078,1,0.23076923076923078

C:\Users\fiery\OneDrive\jfreechart-master\jfreechart-master\src\test\java\org\jfree\data\xy\,TableXYDatasetTest,testCloning,13,5,0.38461538461538464,1,0.38461538461538464

C:\Users\fiery\OneDrive\jfreechart-master\jfreechart-master\src\test\java\org\jfree\data\xy\,TableXYDatasetTest,testPublicCloneable,7,3,0.42857142857142855,1,0.42857142857142855

C:\Users\fiery\OneDrive\jfreechart-master\jfreechart-master\src\test\java\org\jfree\data\xy\,TableXYDatasetTest,testSerialization,9,3,0.3333333333333333,1,0.3333333333333333

C:\Users\fiery\OneDrive\jfreechart-master\jfreechart-master\src\test\java\org\jfree\data\xy\,TableXYDatasetTest,testTableXYDataset,32,10,0.3125,1,0.3125

C:\Users\fiery\OneDrive\jfreechart-master\jfreechart-master\src\test\java\org\jfree\data\xy\,TableXYDatasetTest,test788597,10,3,0.3,1,0.3

C:\Users\fiery\OneDrive\jfreechart-master\jfreechart-master\src\test\java\org\jfree\data\xy\,TableXYDatasetTest,testRemoveAllValuesForX,15,3,0.2,1,0.2

C:\Users\fiery\OneDrive\jfreechart-master\jfreechart-master\src\test\java\org\jfree\data\xy\,TableXYDatasetTest,testPrune,11,3,0.2727272727272727,1,0.2727272727272727

C:\Users\fiery\OneDrive\jfreechart-master\jfreechart-master\src\test\java\org\jfree\data\xy\,TableXYDatasetTest,testAutoPrune,21,11,0.5238095238095238,1,0.5238095238095238

C:\Users\fiery\OneDrive\jfreechart-master\jfreechart-master\src\test\java\org\jfree\data\xy\,TableXYDatasetTest,createSeriesA,11,5,0.45454545454545453,1,0.45454545454545453

C:\Users\fiery\OneDrive\jfreechart-master\jfreechart-master\src\test\java\org\jfree\data\xy\,TableXYDatasetTest,createSeriesB,11,5,0.45454545454545453,1,0.45454545454545453

C:\Users\fiery\OneDrive\jfreechart-master\jfreechart-master\src\test\java\org\jfree\data\xy\,TableXYDatasetTest,createSeries1,13,5,0.38461538461538464,1,0.38461538461538464

C:\Users\fiery\OneDrive\jfreechart-master\jfreechart-master\src\test\java\org\jfree\data\xy\,TableXYDatasetTest,createSeries2,14,5,0.35714285714285715,1,0.35714285714285715

C:\Users\fiery\OneDrive\jfreechart-master\jfreechart-master\src\test\java\org\jfree\data\xy\,VectorDataItemTest,testEquals,26,4,0.15384615384615385,1,0.15384615384615385

C:\Users\fiery\OneDrive\jfreechart-master\jfreechart-master\src\test\java\org\jfree\data\xy\,VectorDataItemTest,testHashcode,11,3,0.2727272727272727,1,0.2727272727272727

C:\Users\fiery\OneDrive\jfreechart-master\jfreechart-master\src\test\java\org\jfree\data\xy\,VectorDataItemTest,testCloning,10,3,0.3,1,0.3

C:\Users\fiery\OneDrive\jfreechart-master\jfreechart-master\src\test\java\org\jfree\data\xy\,VectorDataItemTest,testSerialization,8,3,0.375,1,0.375

C:\Users\fiery\OneDrive\jfreechart-master\jfreechart-master\src\test\java\org\jfree\data\xy\,VectorSeriesCollectionTest,testEquals,19,3,0.15789473684210525,1,0.15789473684210525

C:\Users\fiery\OneDrive\jfreechart-master\jfreechart-master\src\test\java\org\jfree\data\xy\,VectorSeriesCollectionTest,testCloning,16,4,0.25,1,0.25

C:\Users\fiery\OneDrive\jfreechart-master\jfreechart-master\src\test\java\org\jfree\data\xy\,VectorSeriesCollectionTest,testPublicCloneable,7,3,0.42857142857142855,1,0.42857142857142855

C:\Users\fiery\OneDrive\jfreechart-master\jfreechart-master\src\test\java\org\jfree\data\xy\,VectorSeriesCollectionTest,testSerialization,11,3,0.2727272727272727,1,0.2727272727272727

