chemin,class,classe_LOC,classe_CLOC,classe_DC,classe_WMC,classe_BC
E:\Downloads\jfree\data\general\,PieDataset,657,6,0.0091324200913242,NaN,NaN

E:\Downloads\jfree\data\general\,Series,981,189,0.1926605504587156,1.3636364,0.14128440254689723

E:\Downloads\jfree\data\general\,SeriesChangeEvent,674,9,0.013353115727002967,1.0,0.013353115727002967

E:\Downloads\jfree\data\general\,SeriesChangeListener,665,3,0.004511278195488722,NaN,NaN

E:\Downloads\jfree\data\general\,SeriesDataset,703,29,0.041251778093883355,1.0,0.041251778093883355

E:\Downloads\jfree\data\general\,SeriesException,681,9,0.013215859030837005,1.0,0.013215859030837005

E:\Downloads\jfree\data\general\,ValueDataset,673,4,0.005943536404160475,NaN,NaN

E:\Downloads\jfree\data\general\,WaferMapDataset,904,129,0.1426991150442478,1.5263158,0.09349252249673022

E:\Downloads\jfree\data\gantt\,GanttCategoryDataset,799,104,0.13016270337922403,1.0,0.13016270337922403

E:\Downloads\jfree\data\gantt\,SlidingGanttCategoryDataset,1248,296,0.23717948717948717,1.8484849,0.12831021262053594

E:\Downloads\jfree\data\gantt\,Task,870,96,0.1103448275862069,1.375,0.08025078369905957

E:\Downloads\jfree\data\gantt\,TaskSeries,833,70,0.08403361344537816,1.5454545,0.0543746925780608

E:\Downloads\jfree\data\gantt\,TaskSeriesCollection,1294,284,0.21947449768160743,1.6842105,0.13031298202754704

E:\Downloads\jfree\data\gantt\,XYTaskDataset,1112,207,0.18615107913669066,1.3870968,0.1342019418891108

E:\Downloads\jfree\data\function\,Function2D,718,3,0.004178272980501393,NaN,NaN

E:\Downloads\jfree\data\function\,LineFunction2D,798,44,0.05513784461152882,1.5,0.036758563074352546

E:\Downloads\jfree\data\function\,NormalDistributionFunction2D,808,44,0.054455445544554455,1.6666666,0.03267326810572409

E:\Downloads\jfree\data\function\,PolynomialFunction2D,798,44,0.05513784461152882,1.3333334,0.04135338222621979

E:\Downloads\jfree\data\function\,PowerFunction2D,806,44,0.05459057071960298,1.5,0.036393713813068655

E:\Downloads\jfree\data\category\,CategoryDataset,736,8,0.010869565217391304,NaN,NaN

E:\Downloads\jfree\data\category\,CategoryRangeInfo,735,6,0.00816326530612245,NaN,NaN

E:\Downloads\jfree\data\category\,CategoryToPieDataset,993,112,0.11278952668680765,3.25,0.03470446974978697

E:\Downloads\jfree\data\category\,DefaultCategoryDataset,1099,219,0.19927206551410373,1.4,0.14233719207691917

E:\Downloads\jfree\data\category\,DefaultIntervalCategoryDataset,1454,327,0.2248968363136176,2.5151515,0.08941681495164627

E:\Downloads\jfree\data\category\,IntervalCategoryDataset,805,41,0.05093167701863354,1.0,0.05093167701863354

E:\Downloads\jfree\data\category\,SlidingCategoryDataset,1058,156,0.14744801512287334,1.7368422,0.08489430928403245

E:\Downloads\jfree\data\,ComparableObjectItem,878,64,0.07289293849658314,1.5,0.048595292331055424

E:\Downloads\jfree\data\,ComparableObjectSeries,1140,178,0.156140350877193,2.4,0.06505847694697214

E:\Downloads\jfree\data\,DataUtils,992,95,0.09576612903225806,3.5555556,0.026934223589646977

E:\Downloads\jfree\data\,DefaultKeyedValue,889,57,0.06411698537682789,1.5,0.04274465691788526

E:\Downloads\jfree\data\,DefaultKeyedValues,1151,173,0.15030408340573415,1.9090909,0.07873071169616058

E:\Downloads\jfree\data\,DefaultKeyedValues2D,1258,217,0.1724960254372019,2.3913043,0.07213470436072596

E:\Downloads\jfree\data\,DomainInfo,833,33,0.03961584633853541,1.0,0.03961584633853541

E:\Downloads\jfree\data\,DomainOrder,802,3,0.003740648379052369,NaN,NaN

E:\Downloads\jfree\data\,ItemKey,807,10,0.012391573729863693,NaN,NaN

E:\Downloads\jfree\data\,KeyedObject,893,44,0.04927211646136618,1.7142857,0.02874206765027015

E:\Downloads\jfree\data\,KeyedObjects,1076,131,0.12174721189591078,2.25,0.05410987195373813

E:\Downloads\jfree\data\,KeyedObjects2D,1233,183,0.14841849148418493,2.5454545,0.05830726550461089

E:\Downloads\jfree\data\,KeyedValue,815,5,0.006134969325153374,NaN,NaN

